# L path cyclic noncappable
1 1 1 0
2 20 20 0
3 380 156 224
4 7064 1668 5396
5 129740 17360 112380
6 2368008 194908 2173100
7 43069168 2371824 40697344
8 781583572 31056188 750527384
9 14160543572 430029780 13730513792
10 256233400004 6194026170 250039373834
11 4631789851254 91889614586 4539900236668
12 83655954433944 1396188899504 82259765534440
