2 3 4 5
1 6 7 8
1 9 10 11
1 7 12 13
1 8 11 14
2 15 16 17
2 4 18 19
2 5 17 20
3 15 21 22
3 21 23 24
3 5 22 25
4 23 26 27
4 19 27 28
5 20 28 29
6 9 30 31
6 30 32 33
6 8 31 34
7 32 35 36
7 13 36 37
8 14 37 38
9 10 39 40
9 11 31 41
10 12 42 43
10 40 43 44
11 41 44 45
12 35 42 46
12 13 46 47
13 14 37 48
14 45 48 49
15 16 50 51
15 17 22 52
16 18 53 54
16 51 54 55
17 52 55 56
18 26 53 57
18 19 57 58
19 20 28 59
20 56 59 60
21 50 61 62
21 24 62 63
22 25 63 64
23 26 61 65
23 24 65 66
24 25 63 67
25 29 67 68
26 27 57 69
27 66 69 70
28 29 70 71
29 60 68 71
30 39 72 73
30 33 73 74
31 34 74 75
32 35 72 76
32 33 76 77
33 34 74 78
34 38 78 79
35 36 46 80
36 77 80 81
37 38 81 82
38 49 79 82
39 42 72 83
39 40 83 84
40 41 44 85
41 75 85 86
42 43 83 87
43 47 87 88
44 45 88 89
45 49 86 89
46 47 87 90
47 48 88 91
48 49 82 91
50 53 61 92
50 51 92 93
51 52 55 94
52 64 94 95
53 54 92 96
54 58 96 97
55 56 97 98
56 60 95 98
57 58 96 99
58 59 97 100
59 60 71 100
61 62 65 101
62 93 101 102
63 64 102 103
64 68 95 103
65 66 69 104
66 67 70 105
67 68 103 105
69 99 104 106
70 71 105 106
72 73 76 107
73 84 107 108
74 75 108 109
75 79 86 109
76 77 80 110
77 78 81 111
78 79 109 111
80 90 110 112
81 82 111 112
83 84 107 113
84 85 108 114
85 86 89 114
87 90 113 115
88 89 91 115
90 91 112 115
92 93 101 116
93 94 102 117
94 95 98 117
96 99 116 118
97 98 100 118
99 100 106 118
101 104 116 119
102 103 117 119
104 105 106 119
107 110 113 120
108 109 114 120
110 111 112 120
113 114 115 120
116 117 118 119
